max_temp_celsius,min_temp_celsius,feat_poverty_rate,feat_unemployment_rate,feat_median_hh_income,feat_total_population,overall_homeless,unsheltered_homeless,hri_value
24.4,-0.3,0.123822999,0.062661603,75925.25,51047292,186675,127722,16
24.1,-4.7,0.127143061,0.063729376,82736.5,51083792,15456,4053,13
39.5,19.0,0.143754067,0.066437857,89433.75,51296062,68248,26140,439
26.0,6.7,0.120613729,0.061154306,68955.0,50728272,13269,2606,74
5.6,-17.9,0.123822999,0.062661603,75925.25,51047292,224813,141325,6
22.7,3.3,0.120455594,0.059930489,65780.75,50440323,41645,18141,5
27.9,-2.3,0.13487497,0.064024887,86771.0,51097595,72707,9836,5
22.4,-4.0,0.123822999,0.062661603,75925.25,51047292,154765,102050,1
38.2,12.6,0.120455594,0.059930489,65780.75,50440323,13269,2606,462
30.1,8.5,0.122209383,0.062331384,71354.25,50970442,75124,33971,6
17.8,-6.9,0.123822999,0.062661603,75925.25,51047292,37503,14843,1
25.5,8.6,0.123822999,0.062661603,75925.25,51047292,186675,127722,31
27.5,9.5,0.13487497,0.064024887,86771.0,51097595,211600,140401,151
27.3,9.5,0.13487497,0.064024887,86771.0,51097595,199746,131708,346
43.3,25.2,0.123822999,0.062661603,75925.25,51047292,11198,1737,238
29.9,2.2,0.122209383,0.062331384,71354.25,50970442,224813,141325,25
27.3,5.7,0.143754067,0.066437857,89433.75,51296062,49612,15618,126
26.5,7.0,0.122209383,0.062331384,71354.25,50970442,14027,2921,161
23.9,2.4,0.122209383,0.062331384,71354.25,50970442,14027,2921,41
14.5,-2.1,0.127143061,0.063729376,82736.5,51083792,13240,1956,10
12.5,-14.4,0.13487497,0.064024887,86771.0,51097595,72707,9836,6
37.7,20.1,0.143754067,0.066437857,89433.75,51296062,13269,2606,441
12.8,-2.2,0.127143061,0.063729376,82736.5,51083792,199746,131708,91
43.3,15.2,0.120455594,0.059930489,65780.75,50440323,41645,18141,160
15.6,-8.4,0.143754067,0.066437857,89433.75,51296062,40578,17912,6
23.4,4.5,0.127143061,0.063729376,82736.5,51083792,27006,8345,31
15.3,-4.8,0.120613729,0.061154306,68955.0,50728272,186675,127722,22
24.8,7.6,0.13487497,0.064024887,86771.0,51097595,13269,2606,22
28.1,3.5,0.13487497,0.064024887,86771.0,51097595,37503,14843,47
22.9,-2.0,0.127143061,0.063729376,82736.5,51083792,224813,141325,8
26.1,1.4,0.122209383,0.062331384,71354.25,50970442,49612,15618,163
42.8,21.1,0.120613729,0.061154306,68955.0,50728272,13240,1956,395
28.6,4.5,0.127143061,0.063729376,82736.5,51083792,70087,31698,397
32.5,4.6,0.127143061,0.063729376,82736.5,51083792,14027,2921,49
22.4,5.1,0.120455594,0.059930489,65780.75,50440323,37503,14843,15
25.0,-1.8,0.127143061,0.063729376,82736.5,51083792,44337,19689,190
23.3,-1.3,0.122209383,0.062331384,71354.25,50970442,175741,121175,563
29.2,12.8,0.122209383,0.062331384,71354.25,50970442,13269,2606,335
39.6,17.6,0.127143061,0.063729376,82736.5,51083792,11198,1737,379
11.5,-16.5,0.120455594,0.059930489,65780.75,50440323,11198,1737,0
31.1,8.3,0.13487497,0.064024887,86771.0,51097595,41645,18141,236
22.9,2.4,0.127143061,0.063729376,82736.5,51083792,199746,131708,31
34.1,18.1,0.143754067,0.066437857,89433.75,51296062,211600,140401,319
27.9,2.4,0.143754067,0.066437857,89433.75,51296062,69137,26627,13
11.1,-10.3,0.13487497,0.064024887,86771.0,51097595,15456,4053,3
21.5,-1.4,0.143754067,0.066437857,89433.75,51296062,186675,127722,14
17.6,0.7,0.123822999,0.062661603,75925.25,51047292,27006,8345,79
35.9,14.7,0.143754067,0.066437857,89433.75,51296062,41645,18141,749
29.0,10.5,0.127143061,0.063729376,82736.5,51083792,70087,31698,89
28.6,-0.2,0.13487497,0.064024887,86771.0,51097595,199746,131708,47
