hri_value,max_temp_celsius,min_temp_celsius,feat_poverty_rate,feat_unemployment_rate,feat_median_hh_income,feat_total_population,overall_homeless,unsheltered_homeless
4,25,-2.1,0.143754067,0.066437857,65780.75,50440323,70087,26140
6,21.1,-1,0.143754067,0.066437857,65780.75,50440323,70087,26140
6,19.4,-5.5,0.143754067,0.066437857,65780.75,50440323,70087,26140
8,27.2,-4.3,0.143754067,0.066437857,65780.75,50440323,70087,26140
7,24.4,-7.7,0.143754067,0.066437857,65780.75,50440323,70087,26140
9,23.3,-2.1,0.143754067,0.066437857,65780.75,50440323,70087,26140
10,26.1,-4.9,0.143754067,0.066437857,65780.75,50440323,70087,26140
22,30,-2.7,0.143754067,0.066437857,65780.75,50440323,70087,26140
10,29.4,2.8,0.143754067,0.066437857,65780.75,50440323,70087,26140
14,26.1,0.6,0.143754067,0.066437857,65780.75,50440323,70087,26140
55,32.8,2.2,0.143754067,0.066437857,65780.75,50440323,70087,26140
36,32.2,5,0.143754067,0.066437857,65780.75,50440323,70087,26140
84,33.9,13.3,0.143754067,0.066437857,65780.75,50440323,70087,26140
79,33.9,12.2,0.143754067,0.066437857,65780.75,50440323,70087,26140
172,36.1,17.2,0.143754067,0.066437857,65780.75,50440323,70087,26140
128,36.1,15.6,0.143754067,0.066437857,65780.75,50440323,70087,26140
165,35.6,19.4,0.143754067,0.066437857,65780.75,50440323,70087,26140
196,36.1,20,0.143754067,0.066437857,65780.75,50440323,70087,26140
121,33.9,12.2,0.143754067,0.066437857,65780.75,50440323,70087,26140
174,35.6,16.7,0.143754067,0.066437857,65780.75,50440323,70087,26140
250,36.1,18.9,0.143754067,0.066437857,65780.75,50440323,70087,26140
128,35,17.2,0.143754067,0.066437857,65780.75,50440323,70087,26140
174,35.6,15.6,0.143754067,0.066437857,65780.75,50440323,70087,26140
233,35.6,16.7,0.143754067,0.066437857,65780.75,50440323,70087,26140
313,36.7,17.8,0.143754067,0.066437857,65780.75,50440323,70087,26140
303,35.6,16.1,0.143754067,0.066437857,65780.75,50440323,70087,26140
282,36.7,18.3,0.143754067,0.066437857,65780.75,50440323,70087,26140
340,36.7,18.3,0.143754067,0.066437857,65780.75,50440323,70087,26140
190,35.6,17.2,0.143754067,0.066437857,65780.75,50440323,70087,26140
160,35,12.2,0.143754067,0.066437857,65780.75,50440323,70087,26140
120,34.4,17.8,0.143754067,0.066437857,65780.75,50440323,70087,26140
93,33.9,14.4,0.143754067,0.066437857,65780.75,50440323,70087,26140
100,36.1,16.7,0.143754067,0.066437857,65780.75,50440323,70087,26140
82,35.6,11.1,0.143754067,0.066437857,65780.75,50440323,70087,26140
45,30.6,2.8,0.143754067,0.066437857,65780.75,50440323,70087,26140
19,28.3,6.7,0.143754067,0.066437857,65780.75,50440323,70087,26140
18,31.1,-1,0.143754067,0.066437857,65780.75,50440323,70087,26140
22,29.4,-3.8,0.143754067,0.066437857,65780.75,50440323,70087,26140
17,30,-2.1,0.143754067,0.066437857,65780.75,50440323,70087,26140
12,27.8,0,0.143754067,0.066437857,65780.75,50440323,70087,26140
10,30.6,-3.8,0.143754067,0.066437857,65780.75,50440323,70087,26140
12,27.8,-4.9,0.143754067,0.066437857,65780.75,50440323,70087,26140
7,24.4,-4.3,0.143754067,0.066437857,65780.75,50440323,70087,26140
14,31.1,-2.1,0.143754067,0.066437857,65780.75,50440323,70087,26140
19,28.9,1.1,0.143754067,0.066437857,65780.75,50440323,70087,26140
10,27.8,-1.6,0.143754067,0.066437857,65780.75,50440323,70087,26140
4,23.9,-13.8,0.143754067,0.066437857,65780.75,50440323,70087,26140
4,14.4,-17.7,0.143754067,0.066437857,65780.75,50440323,70087,26140
8,27.8,-7.7,0.143754067,0.066437857,65780.75,50440323,70087,26140
