n_features,features,train_rmse,test_mae,test_rmse,test_r2,intercept,coefficients_json
3,feat_median_hh_income|feat_total_population|min_temp_celsius,174.91422018518665,98.0119368138586,148.43569115658224,0.389554649934441,953.4477318090679,"{""feat_median_hh_income"":0.0014245522022710783,""feat_total_population"":-1.9015906218590664e-05,""min_temp_celsius"":10.273050219777303}"
2,feat_median_hh_income|min_temp_celsius,174.92743604183735,98.01856763777958,148.50354957089743,0.3889963836339193,22.431728121225916,"{""feat_median_hh_income"":0.0009334408670463854,""min_temp_celsius"":10.263547758309151}"
2,feat_total_population|min_temp_celsius,175.00098536478268,98.25654609341512,148.87386875580856,0.38594529860704485,-1129.508311780311,"{""feat_total_population"":2.4032795872151863e-05,""min_temp_celsius"":10.24743524266142}"
4,feat_median_hh_income|feat_total_population|min_temp_celsius|unsheltered_homeless,174.90054793907362,98.94897582813697,149.16420706719813,0.3835478670950133,945.3248872977475,"{""feat_median_hh_income"":0.0014285375978051577,""feat_total_population"":-1.882644211824409e-05,""min_temp_celsius"":10.268020347991161,""unsheltered_homeless"":-4.5238941626751706e-05}"
3,feat_median_hh_income|min_temp_celsius|unsheltered_homeless,174.91350153573154,98.96478989848357,149.2405686987207,0.3829165448674543,23.5960147250332,"{""feat_median_hh_income"":0.0009424040822647732,""min_temp_celsius"":10.258565508122787,""unsheltered_homeless"":-4.567028261174307e-05}"
1,min_temp_celsius,175.09706174142417,98.72510073611464,149.36092745516498,0.3819208190144272,96.15560271312584,"{""min_temp_celsius"":10.251302130886708}"
3,feat_total_population|min_temp_celsius|unsheltered_homeless,174.9878016365566,99.19250830420052,149.59703569521093,0.3799651678908309,-1143.2101084652577,"{""feat_total_population"":2.4337176401055896e-05,""min_temp_celsius"":10.242424557278813,""unsheltered_homeless"":-4.4433326700375906e-05}"
4,feat_median_hh_income|feat_total_population|min_temp_celsius|overall_homeless,174.87882985014235,99.5580411116064,149.63101420510674,0.37968347444430206,935.3243051937459,"{""feat_median_hh_income"":0.001432032441654656,""feat_total_population"":-1.8593649533011188e-05,""min_temp_celsius"":10.264810147205042,""overall_homeless"":-5.249765393832305e-05}"
3,feat_median_hh_income|min_temp_celsius|overall_homeless,174.89146554624733,99.57823196387841,149.7099382427623,0.37902892035083036,25.002603712103394,"{""feat_median_hh_income"":0.0009519755178182366,""min_temp_celsius"":10.255453594805108,""overall_homeless"":-5.292328962683621e-05}"
5,feat_median_hh_income|feat_total_population|min_temp_celsius|overall_homeless|unsheltered_homeless,174.70602988325155,99.72711321633916,149.75157042796883,0.3786835060398275,871.0133016842483,"{""feat_median_hh_income"":0.0014449546774666674,""feat_total_population"":-1.7099800405063615e-05,""min_temp_celsius"":10.264344393352411,""overall_homeless"":-0.0007452799498085366,""unsheltered_homeless"":0.0009738213163153074}"
2,feat_unemployment_rate|min_temp_celsius,174.87034147964334,98.60788752417355,149.7938090119994,0.3783329624033307,-199.72974101232072,"{""feat_unemployment_rate"":4677.373802091163,""min_temp_celsius"":10.263637346353828}"
4,feat_median_hh_income|min_temp_celsius|overall_homeless|unsheltered_homeless,174.7167223687638,99.73331734995573,149.81647540489254,0.37814481022911284,33.87626343685653,"{""feat_median_hh_income"":0.0010037446535099697,""min_temp_celsius"":10.255741109291945,""overall_homeless"":-0.0007494144304165798,""unsheltered_homeless"":0.0009790830462385281}"
2,min_temp_celsius|unsheltered_homeless,175.08621876003588,99.59471667631253,150.02222886186172,0.37643556276157175,97.80699928687034,"{""min_temp_celsius"":10.246803778050921,""unsheltered_homeless"":-4.028384661575819e-05}"
3,feat_total_population|min_temp_celsius|overall_homeless,174.96652019722936,99.81085299400338,150.06458246993796,0.3760834291878864,-1158.1930303820313,"{""feat_total_population"":2.4672706608771197e-05,""min_temp_celsius"":10.239169074395997,""overall_homeless"":-5.181808334249661e-05}"
4,feat_total_population|min_temp_celsius|overall_homeless|unsheltered_homeless,174.7953941144684,99.9484118460601,150.1624117561616,0.37526968343472944,-1241.0106016799377,"{""feat_total_population"":2.6548265983408456e-05,""min_temp_celsius"":10.23847516651325,""overall_homeless"":-0.0007413909826659785,""unsheltered_homeless"":0.0009693185530515754}"
