target_hri_rate,feat_mean_tmax_c_week,feat_max_tmax_c_week,feat_temp_range_c_week,feat_heat_intensity,feat_poverty_rate,feat_unemployment_rate,feat_median_hh_income,feat_total_population,record_year,region_label
43.0,26.457142857142856,33.025,11.625,6.567857142857143,0.1437540670588942,0.066437856629778,65780.75,50440323,2018,Region 9
120.0,31.25,33.0,6.625,1.75,0.1437540670588942,0.066437856629778,65780.75,50440323,2018,Region 9
42.0,28.957142857142856,30.174999999999997,2.8749999999999964,1.2178571428571416,0.1437540670588942,0.066437856629778,65780.75,50440323,2018,Region 9
38.0,28.92142857142857,30.25,2.4250000000000007,1.3285714285714292,0.1437540670588942,0.066437856629778,65780.75,50440323,2018,Region 9
148.0,31.175,33.525,4.649999999999999,2.349999999999998,0.1437540670588942,0.066437856629778,65780.75,50440323,2018,Region 9
206.0,33.65714285714286,35.199999999999996,3.0999999999999943,1.5428571428571374,0.1437540670588942,0.066437856629778,65780.75,50440323,2018,Region 9
257.0,33.76428571428571,35.925,6.849999999999998,2.1607142857142847,0.1437540670588942,0.066437856629778,65780.75,50440323,2018,Region 9
272.0,33.48571428571429,36.025,6.449999999999999,2.539285714285711,0.1437540670588942,0.066437856629778,65780.75,50440323,2018,Region 9
262.0,34.20357142857143,35.525,2.3500000000000014,1.3214285714285694,0.1437540670588942,0.066437856629778,65780.75,50440323,2018,Region 9
343.0,36.214285714285715,40.175,6.149999999999999,3.960714285714282,0.1437540670588942,0.066437856629778,65780.75,50440323,2018,Region 9
307.0,34.225,37.15,4.5,2.924999999999997,0.1437540670588942,0.066437856629778,65780.75,50440323,2018,Region 9
368.0,34.71785714285714,35.675,1.9249999999999972,0.9571428571428556,0.1437540670588942,0.066437856629778,65780.75,50440323,2018,Region 9
655.0,37.792857142857144,39.2,3.325000000000003,1.4071428571428584,0.1437540670588942,0.066437856629778,65780.75,50440323,2018,Region 9
441.0,36.44642857142857,37.225,1.4750000000000014,0.778571428571432,0.1437540670588942,0.066437856629778,65780.75,50440323,2018,Region 9
348.0,36.66428571428571,38.349999999999994,3.624999999999993,1.6857142857142833,0.1437540670588942,0.066437856629778,65780.75,50440323,2018,Region 9
215.0,34.375,35.625,2.424999999999997,1.25,0.1437540670588942,0.066437856629778,65780.75,50440323,2018,Region 9
187.0,34.207142857142856,36.575,3.875,2.3678571428571473,0.1437540670588942,0.066437856629778,65780.75,50440323,2018,Region 9
108.0,33.71071428571428,34.4,1.3249999999999955,0.6892857142857167,0.1437540670588942,0.066437856629778,65780.75,50440323,2018,Region 9
127.0,33.496428571428574,36.8,4.724999999999994,3.3035714285714235,0.1437540670588942,0.066437856629778,65780.75,50440323,2018,Region 9
108.0,34.667857142857144,36.175,2.8999999999999986,1.507142857142853,0.1437540670588942,0.066437856629778,65780.75,50440323,2018,Region 9
89.0,33.08214285714286,34.225,2.400000000000002,1.1428571428571388,0.1437540670588942,0.066437856629778,65780.75,50440323,2018,Region 9
78.0,32.84285714285714,33.65,1.7999999999999972,0.8071428571428569,0.1437540670588942,0.066437856629778,65780.75,50440323,2018,Region 9
32.0,28.292857142857144,32.55,6.574999999999996,4.257142857142853,0.1437540670588942,0.066437856629778,65780.75,50440323,2018,Region 9
